Season,name,Team name,Minutes played,Games played,Goals,Assists,xG,xA,Shots,Key Passes,npg,npxG,Position,Penalty Taker
2023/2024,Ollie Watkins,Aston Villa,3250,37,19,13,19.26459836959839,7.745744535699487,106,45,19,19.26459836959839,Forward,1
2023/2024,Mohamed Salah,Liverpool,2556,32,18,10,21.941274393349886,12.332044444978237,114,66,13,16.613166783005,Midfielder,1
2023/2024,Son Heung-Min,Tottenham,2989,35,17,10,12.978620901703835,13.341020658612251,85,69,15,11.45628322660923,Midfielder,0
2023/2024,Jarrod Bowen,West Ham,3026,34,16,6,13.498636420816183,6.437707958742976,85,32,16,13.498636420816183,Forward,1
2023/2024,Jean-Philippe Mateta,Crystal Palace,2303,35,16,5,12.290523625910282,3.52706278860569,46,32,14,10.768185935914516,Forward,1
2023/2024,Bukayo Saka,Arsenal,2990,35,16,8,16.807056225836277,11.325986489653587,107,89,10,12.240043208003044,Midfielder,1
2023/2024,Chris Wood,Nottingham Forest,1797,31,14,1,13.364272002130747,1.987032251432538,48,22,14,13.364272002130747,Forward,1
2023/2024,Nicolas Jackson,Chelsea,2818,35,14,5,19.860593939200044,5.2836981769651175,80,36,14,19.860593939200044,Forward,0
2023/2024,Kai Havertz,Arsenal,2651,37,13,7,13.465729914605618,5.814370539039373,69,45,12,12.704561084508896,Forward,0
2023/2024,Yoane Wissa,Brentford,2556,34,12,3,11.16999962553382,3.828521143645048,67,29,12,11.16999962553382,Forward,1
2023/2024,Matheus Cunha,Wolverhampton Wanderers,2499,32,12,7,10.229120277799666,3.920058634132147,73,28,11,9.467951440252364,Midfielder,0
2023/2024,Leandro Trossard,Arsenal,1649,34,12,1,9.575767548754811,3.252073733136058,60,24,12,9.575767548754811,Midfielder,1
2023/2024,Hee-Chan Hwang,Wolverhampton Wanderers,2154,29,12,3,8.681871520355344,3.1403315979987383,45,17,11,7.920702653005719,Midfielder,0
2023/2024,Richarlison,Tottenham,1511,28,11,4,9.619059151038527,1.9676255472004414,61,15,11,9.619059151038527,Midfielder,0
2023/2024,Anthony Gordon,Newcastle United,2956,35,11,10,11.293779235333204,8.833045985549688,81,56,10,10.53261036798358,Midfielder,1
2023/2024,Eberechi Eze,Crystal Palace,2097,27,11,4,9.37310928851366,6.844833366572857,83,54,10,8.611940443515778,Midfielder,1
2023/2024,Darwin Núñez,Liverpool,2037,36,11,8,19.187851031310856,5.950456521473825,108,33,11,18.42668213415891,Midfielder,0
2023/2024,Julián Álvarez,Manchester City,2682,36,11,8,14.373571239411831,5.823111834935844,98,66,9,12.851233504712582,Midfielder,0
2023/2024,Carlton Morris,Luton,2879,38,11,4,12.306741118431091,3.6919509368017316,72,22,6,8.500896904617548,Midfielder,0
2023/2024,Bruno Fernandes,Manchester United,3121,35,10,8,10.746266636997461,13.15852378681302,95,113,6,6.940422397106886,Midfielder,0
2023/2024,Leon Bailey,Aston Villa,2112,35,10,9,6.4655649326741695,10.299157902598381,53,51,10,6.4655649326741695,Midfielder,0
2023/2024,Diogo Jota,Liverpool,1164,21,10,3,6.724682793021202,3.19649357162416,41,23,10,6.724682793021202,Midfielder,0
2023/2024,Michael Olise,Crystal Palace,1281,19,10,6,5.6874131839722395,5.196664724498987,56,35,9,4.926244312897325,Midfielder,0
2023/2024,Rasmus Højlund,Manchester United,2210,30,10,2,9.338883213698864,1.779460173100233,38,28,10,9.338883213698864,Forward,0
2023/2024,Elijah Adebayo,Luton,1422,27,10,0,6.630781220272183,0.8136616554111242,31,14,10,6.630781220272183,Midfielder,0
2023/2024,Callum Wilson,Newcastle United,963,20,9,1,10.12450959533453,0.9339367430657148,35,8,7,8.602172024548054,Forward,0
2023/2024,Douglas Luiz,Aston Villa,3043,35,9,5,7.572099968791008,5.288189608603716,48,53,5,4.527424611151218,Midfielder,0
2023/2024,Bryan Mbeumo,Brentford,1954,25,9,6,9.158370908349752,5.14017678797245,53,32,6,6.874864336103201,Midfielder,0
2023/2024,João Pedro,Brighton,2026,31,9,3,11.918903339654207,5.4223863165825605,75,37,5,8.113133335486054,Midfielder,0
2023/2024,Rodrigo Muniz,Fulham,1602,26,9,1,8.481916300952435,1.3883774541318417,72,16,9,8.481916300952435,Midfielder,0
2023/2024,Raheem Sterling,Chelsea,1987,31,8,4,8.573790527880192,4.971372967585921,51,30,8,8.573790527880192,Midfielder,0
2023/2024,Rodri,Manchester City,2967,34,8,9,4.294270480051637,5.32604681327939,62,50,8,4.294270480051637,Midfielder,0
2023/2024,Martin Odegaard,Arsenal,3117,35,8,10,7.670226177200675,11.577396512031555,77,102,6,6.147925289347768,Midfielder,0
2023/2024,Callum Hudson-Odoi,Nottingham Forest,1844,29,8,1,3.01959465444088,3.0873287972062826,38,36,8,3.01959465444088,Midfielder,0
2023/2024,Dejan Kulusevski,Tottenham,2787,36,8,3,5.835474932566285,8.615606566891074,57,65,8,5.835474932566285,Midfielder,0
2023/2024,Luis Díaz,Liverpool,2706,37,8,5,12.864595355466008,6.482230054214597,94,64,8,12.864595355466008,Midfielder,0
2023/2024,Cody Gakpo,Liverpool,1640,35,8,5,8.769219513982534,4.2288118079304695,66,25,8,8.769219513982534,Midfielder,1
2023/2024,Antoine Semenyo,Bournemouth,2141,33,8,2,6.423830641433597,3.799709178507328,70,29,8,6.423830641433597,Midfielder,1
2023/2024,Mohammed Kudus,West Ham,2490,33,8,6,5.1772670187056065,3.5089522134512663,66,28,8,5.1772670187056065,Midfielder,0
2023/2024,Marcus Rashford,Manchester United,2292,33,7,2,7.661536030471325,2.390108224004507,62,24,5,6.13919834792614,Midfielder,0
2023/2024,James Ward-Prowse,West Ham,3025,37,7,7,5.6392913637682796,8.108484361320734,44,64,5,4.116953688673675,Midfielder,1
2023/2024,Abdoulaye Doucouré,Everton,2678,32,7,1,10.20444649644196,2.55271128565073,47,33,7,10.20444649644196,Midfielder,0
2023/2024,Odsonne Edouard,Crystal Palace,1534,30,7,0,7.869511350989342,1.0359194399788976,51,18,7,7.869511350989342,Midfielder,0
2023/2024,Raúl Jiménez,Fulham,1423,24,7,0,5.9900733437389135,1.6923745833337307,41,11,7,5.9900733437389135,Midfielder,0
2023/2024,Declan Rice,Arsenal,3256,38,7,8,3.186093623749912,5.895036246627569,58,47,7,3.186093623749912,Midfielder,0
2022/2023,Erling Haaland,Manchester City,2803,35,36,8,32.761399537324905,5.8491098545491695,123,29,29,27.433209866285324,Forward,1
2022/2023,Harry Kane,Tottenham,3414,38,30,3,23.06444012373686,7.547407771460712,133,57,25,18.497427217662334,Midfielder,0
2022/2023,Ivan Toney,Brentford,2960,33,20,4,21.69119757413864,4.909892840310931,94,26,14,16.363018790259957,Midfielder,0
